Jahr;Ges;Name;Age_Group;Runner_Number;Place_Gender;Place_Age_Group;Place_Overall;Start_Time_of_day;Finish_Time;5K_Time;5K_Diff;5K_min_km;5K_kmh;10K_Time;10K_Diff;10K_min_km;10K_kmh;15K_Time;15K_Diff;15K_min_km;15K_kmh;20K_Time;20K_Diff;20K_min_km;20K_kmh;HK_Time;HK_Diff;HK_min_km;HK_kmh;25K_Time;25K_Diff;25K_min_km;25K_kmh;30K_Time;30K_Diff;30K_min_km;30K_kmh;35K_Time;35K_Diff;35K_min_km;35K_kmh;40K_Time;40K_Diff;40K_min_km;40K_kmh;FK_Time;FK_Diff;FK_min_km;FK_kmh
2011;M;Mosop, Moses (KEN);30-34;2;1;1;1;–;02:05:37;00:14:54;14:54;02:59;20.13;00:29:41;14:47;02:58;20.29;00:44:41;15:00;03:00;20.00;00:59:35;14:54;02:59;20.13;01:02:54;03:19;03:02;19.85;01:14:15;11:21;02:55;20.63;01:28:47;14:32;02:55;20.64;01:43:16;14:29;02:54;20.71;01:58:33;15:17;03:04;19.63;02:05:37;07:04;03:14;18.64
2011;M;Korir, Wesley (KEN);25-29;9;2;1;2;–;02:06:15;00:14:55;14:55;02:59;20.11;00:29:42;14:47;02:58;20.29;00:44:42;15:00;03:00;20.00;00:59:37;14:55;02:59;20.11;01:02:55;03:18;03:01;19.95;01:14:15;11:20;02:55;20.66;01:28:46;14:31;02:55;20.67;01:43:58;15:12;03:03;19.74;01:59:38;15:40;03:09;19.15;02:06:15;06:37;03:01;19.90
2011;M;Kipyego, Bernard (KEN);25-29;8;3;2;3;–;02:06:29;00:14:54;14:54;02:59;20.13;00:29:42;14:48;02:58;20.27;00:44:41;14:59;03:00;20.02;00:59:36;14:55;02:59;20.11;01:02:55;03:19;03:02;19.85;01:14:15;11:20;02:55;20.66;01:28:50;14:35;02:55;20.57;01:43:42;14:52;02:59;20.18;01:59:25;15:43;03:09;19.09;02:06:29;07:04;03:14;18.64
2011;M;Daba, Bekana (ETH);20-24;7;4;1;4;–;02:07:59;00:14:54;14:54;02:59;20.13;00:29:42;14:48;02:58;20.27;00:44:41;14:59;03:00;20.02;00:59:36;14:55;02:59;20.11;01:02:54;03:18;03:01;19.95;01:14:15;11:21;02:55;20.63;01:28:49;14:34;02:55;20.59;01:44:00;15:11;03:03;19.76;02:00:44;16:44;03:21;17.93;02:07:59;07:15;03:19;18.17
2011;M;Hall, Ryan (USA);25-29;3;5;3;5;–;02:08:04;00:14:55;14:55;02:59;20.11;00:29:43;14:48;02:58;20.27;00:44:42;14:59;03:00;20.02;00:59:37;14:55;02:59;20.11;01:02:56;03:19;03:02;19.85;01:14:32;11:36;02:59;20.19;01:29:47;15:15;03:03;19.67;01:45:24;15:37;03:08;19.21;02:01:17;15:53;03:11;18.89;02:08:04;06:47;03:06;19.42
2011;M;Cheruiyot, Evans (KEN);25-29;5;6;4;6;–;02:10:29;00:14:54;14:54;02:59;20.13;00:29:42;14:48;02:58;20.27;00:44:41;14:59;03:00;20.02;00:59:36;14:55;02:59;20.11;01:02:55;03:19;03:02;19.85;01:14:15;11:20;02:55;20.66;01:28:51;14:36;02:56;20.55;01:44:42;15:51;03:11;18.93;02:02:06;17:24;03:29;17.24;02:10:29;08:23;03:50;15.71
2011;M;Gokaya, Kouji (JPN);20-24;21;7;2;7;–;02:12:15;00:15:21;15:21;03:05;19.54;00:30:52;15:31;03:07;19.33;00:46:23;15:31;03:07;19.33;01:01:50;15:27;03:06;19.42;01:05:12;03:22;03:05;19.55;01:17:06;11:54;03:03;19.68;01:32:54;15:48;03:10;18.99;01:49:00;16:06;03:14;18.63;02:05:20;16:20;03:16;18.37;02:12:15;06:55;03:10;19.04
2011;M;Arai, Hironori (JPN);30-34;20;8;2;8;–;02:13:17;00:15:21;15:21;03:05;19.54;00:30:53;15:32;03:07;19.31;00:46:23;15:30;03:06;19.35;01:01:51;15:28;03:06;19.40;01:05:14;03:23;03:06;19.45;01:17:32;12:18;03:10;19.04;01:33:47;16:15;03:15;18.46;01:50:00;16:13;03:15;18.50;02:06:14;16:14;03:15;18.48;02:13:17;07:03;03:13;18.68
2011;M;Horiguchi, Takashi (JPN);30-34;22;9;3;9;–;02:14:48;00:15:22;15:22;03:05;19.52;00:30:52;15:30;03:06;19.35;00:46:24;15:32;03:07;19.31;01:01:50;15:26;03:06;19.44;01:05:13;03:23;03:06;19.45;01:17:31;12:18;03:10;19.04;01:33:47;16:16;03:16;18.44;01:50:02;16:15;03:15;18.46;02:07:10;17:08;03:26;17.51;02:14:48;07:38;03:29;17.25
2011;M;Shimoju, Masaki (JPN);20-24;19;10;3;10;–;02:17:49;00:15:21;15:21;03:05;19.54;00:30:53;15:32;03:07;19.31;00:46:23;15:30;03:06;19.35;01:01:50;15:27;03:06;19.42;01:05:13;03:23;03:06;19.45;01:17:31;12:18;03:10;19.04;01:33:48;16:17;03:16;18.42;01:51:23;17:35;03:31;17.06;02:09:50;18:27;03:42;16.26;02:17:49;07:59;03:39;16.50
