Jahr;Ges;Place_Overall;Number_Card;Name;Age_Group;Place_Age_Group;Place_Gender;Time_net;Time_gross;5K_Time;10K_Time;15K_Time;20K_Time;HK_Time;25K_Time;30K_Time;35K_Time;40K_Time;FK_Time
2016;M;1;3;FEYISA LILESA;Age Place(25-29);1;1;2:06:55;2:06:56;0:14:59;0:29:38;0:44:28;0:59:37;1:02:54;1:14:30;1:29:51;1:44:22;1:59:56;2:06:56
2016;M;2;6;BERNARD KIPROP KIPYEGO;Age Place(25-29);2;2;2:07:32;2:07:33;0:14:59;0:29:38;0:44:27;0:59:36;1:02:52;1:14:30;1:29:51;1:44:59;2:00:49;2:07:33
2016;M;3;2;DICKSON CHUMBA;Age Place(25-29);3;3;2:07:34;2:07:34;0:14:59;0:29:38;0:44:27;0:59:36;1:02:52;1:14:30;1:29:50;1:44:21;1:59:56;2:07:34
2016;M;4;7;STEPHEN KIPROTICH;Age Place(25-29);4;4;2:07:46;2:07:46;0:14:59;0:29:39;0:44:27;0:59:36;1:02:53;1:14:30;1:29:52;1:44:59;2:00:50;2:07:46
2016;M;5;4;ABEL KIRUI;Age Place(30-34);1;5;2:08:06;2:08:06;0:14:59;0:29:38;0:44:27;0:59:36;1:02:52;1:14:30;1:29:50;1:44:59;2:00:55;2:08:06
2016;M;6;5;ELIUD KIPTANUI;Age Place(25-29);5;6;2:08:54;2:08:55;0:14:59;0:29:38;0:44:27;0:59:36;1:02:53;1:14:30;1:29:52;1:45:08;2:01:33;2:08:55
2016;M;7;1;EMMANUEL MUTAI;Age Place(30-34);2;7;2:10:23;2:10:23;0:14:59;0:29:37;0:44:27;0:59:36;1:02:52;1:14:30;1:29:51;1:45:23;2:02:40;2:10:23
2016;M;8;138;YUKI TAKAMIYA;Age Place(25-29);6;8;東京都／Tokyo;2:10:56;0:15:04;0:30:14;0:45:44;1:01:14;1:04:43;1:17:15;1:33:22;1:48:51;2:04:14;2:10:57
2016;M;9;9;JAVIER GUERRA;Age Place(30-34);3;9;2:11:01;2:11:01;0:15:03;0:29:59;0:45:33;1:01:13;1:04:43;1:17:14;1:33:20;1:48:39;2:04:14;2:11:01
2016;M;10;162;YUTA SHIMODA;Age Place(16-19);1;10;静岡県／Shizuoka;2:11:33;0:15:02;0:29:59;0:45:33;1:01:11;1:04:43;1:17:15;1:33:22;1:48:40;2:04:37;2:11:34
2016;W;49;37;HELAH KIPROP;Age Place(30-34);16;1;2:21:26;2:21:27;0:16:48;0:33:28;0:50:17;1:07:05;1:10:41;1:23:39;1:40:26;1:57:08;2:13:47;2:21:27
2016;W;54;35;AMANE GOBENA;Age Place(30-34);17;2;2:21:50;2:21:51;0:16:48;0:33:27;0:50:17;1:07:05;1:10:42;1:23:40;1:40:27;1:57:09;2:14:12;2:21:51
2016;W;59;31;EDNA KIPLAGAT;Age Place(35-39);4;3;2:22:35;2:22:36;0:16:49;0:33:27;0:50:18;1:07:06;1:10:43;1:23:40;1:40:27;1:57:09;2:14:36;2:22:36
2016;W;61;32;ABERU KEBEDE;Age Place(25-29);25;4;2:22:59;2:23:01;0:16:49;0:33:27;0:50:17;1:07:05;1:10:42;1:23:39;1:40:26;1:57:08;2:14:57;2:23:01
2016;W;64;34;BIRHANE DIBABA;Age Place(20-24);12;5;2:23:16;2:23:16;0:16:49;0:33:28;0:50:18;1:07:06;1:10:43;1:23:40;1:40:27;1:57:31;2:15:19;2:23:16
2016;W;74;33;SHURE DEMISE;Age Place(20-24);14;6;2:25:03;2:25:04;0:16:48;0:33:28;0:50:18;1:07:06;1:10:43;1:24:06;1:41:49;1:59:34;2:17:18;2:25:04
2016;W;80;36;ASHETE BEKELE DIDO;Age Place(25-29);29;7;2:25:49;2:25:50;0:16:49;0:33:28;0:50:18;1:07:06;1:10:42;1:23:40;1:41:12;1:59:19;2:17:41;2:25:50
2016;W;93;38;MAJA NEUENSCHWANDER;Age Place(35-39);9;8;2:27:35;2:27:36;0:16:50;0:33:58;0:51:28;1:09:07;1:12:58;1:26:51;1:44:29;2:02:00;2:19:44;2:27:36
2016;W;114;39;ISABELLAH ANDERSSON;Age Place(35-39);16;9;2:30:02;2:30:02;0:16:50;0:33:56;0:51:28;1:09:07;1:12:59;1:26:51;1:44:33;2:02:54;2:21:27;2:30:02
2016;W;123;203;YUKIKO OKUNO;Age Place(20-24);20;10;東京都／Tokyo;2:31:16;0:16:52;0:33:56;0:51:27;1:09:07;1:12:59;1:27:04;1:45:24;2:04:04;2:23:08;2:31:17
